Suburb,Total
Deer Vale,4
Delegate,21
Delungra,30
Denhams Beach,22
Denistone,62
Denistone East,43
Denistone West,13
Denman,105
Depot Beach,0
Derriwong,2
Deua,2
Deua River Valley,7
Devils Hole,0
Dewitt,0
Dhulura,4
Dhuragoon,0
Diamond Beach,53
Diamond Head,4
Diehard,10
Diggers Camp,0
Dignams Creek,5
Dilkoon,1
Dilpurra,2
Dingo Forest,2
Dinoga,0
Dirnaseer,2
Dirty Creek,13
Dobies Bight,3
Doctor George Mountain,0
Doctors Gap,0
Dog Rocks,0
Dolans Bay,7
Dolls Point,38
Dollys Flat,3
Dolphin Point,6
Dombarton,4
Donald Creek,0
Dondingalong,61
Doon Doon,8
Doonbah,2
Dooralong,11
Dorrigo,63
Dorrigo Mountain,2
Dorroughby,4
Double Bay,541
Doubtful Creek,5
Douglas Park,71
Dover Heights,69
Downside,6
Doyalson,110
Doyalson North,22
Doyles Creek,3
Doyles River,0
Drildool,0
Dripstone,1
Drummoyne,534
Dry Creek,1
Dry Plain,1
Duck Creek,1
Duckenfield,0
Duckmaloi,0
Dudley,106
Duffys Forest,15
Dulwich Hill,844
Dum Dum,8
Dumaresq,3
Dumaresq Island,1
Dumaresq Valley,0
Dunbible,20
Dunbogan,47
Duncans Creek,1
Dundas,171
Dundas Valley,238
Dundee,3
Dundurrabin,2
Dunedoo,97
Dungarubba,1
Dungay,6
Dungeree,0
Dungog,148
Dunkeld,1
Dunmore,57
Dunolly,26
Dunoon,18
Duns Creek,8
Dunville Loop,0
Dural (Hornsby),297
Dural (Singleton),0
Duramana,6
Duranbah,16
Duri,14
Duroby,0
Durran Durra,5
Durras North,5
Durren Durren,2
Duval,1
Dyers Crossing,11
Dyraaba,0
Dyrring,3
Eagleton,14
Earlwood,545
East Ballina,184
East Branxton,50
East Coraki,3
East Corrimal,217
East Gosford,260
East Hills,304
East Jindabyne,13
East Kangaloon,4
East Kempsey,116
East Killara,51
East Kurrajong,35
East Lindfield,46
East Lismore,340
East Lynne,4
East Ryde,46
East Seaham,11
East Tamworth,293
East Wagga Wagga,175
East Wardell,6
Eastern Creek,372
Eastgardens,490
Eastlakes,475
Eastwood,788
Eatonsville,15
Ebenezer,32
Ebor,21
Eccleston,3
Edderton,1
Eden Creek,7
Edenville,0
Edgecliff,306
Edgeroi,4
Edith,1
Edmondson Park,254
Edrom,0
Eglinton,77
