Suburb,Population,Density (/km2),Area (km2)
Gwandalan,3273,461,7.1 
Gwynneville,3100,,
Gymea,7589,2857,2.3 
Gymea Bay,6873,,
Haberfield,6457,,
Hamilton,4229,3021,1.4 
Hamilton North,869,1086,0.8 
Hamilton South,3876,2280,1.7 
Hamlyn Terrace,5225,,
Hammondville,3493,1838,1.9 
Hardys Bay,227,252,0.9 
Harrington Park,10663,,
Harris Park,5799,9061,0.64 
Hassall Grove,4396,,
Hawkesbury Heights,456,,
Haymarket,7353,18383,0.4 
Hazelbrook,4974,,
Heathcote,6013,,
Hebersham,5438,,
Heckenberg,3094,,
Helensburgh,1 17yr old boy,,
Henley,469,,
Highfields,835,2088,0.4 
Hillsdale,5501,7859,0.7 
Hinchinbrook,11222,,
Hobartville,2850,,
Holgate,986,74,13.3 
Holmesville,1419,747,1.9 
Holroyd,1275,,
Holsworthy,5476,,
Homebush,7007,2803,2.5 
Homebush Bay,0,,
Homebush West,8609,,
Horningsea Park,0,,
Hornsby,22168,,
Hornsby Heights,6305,612,10.3 
Horsfield Bay,527,753,0.7 
Horsley,8221,,
Horsley Park,1837,,
Hoxton Park,4355,,
Hunters Hill,9528,1657,5.75 
Huntingwood,0,,
Huntleys Cove,750,,
Huntleys Point,144,,
Hurlstone Park,4692,,
Hurstville,29822,7100,4.2 
Hurstville Grove,2663,,
Illawong,7271,,
Ingleburn,15039,,
Ingleside,974,,
Islington,1883,2145,0.713 
Jamberoo,1636,,
Jamisontown,5242,644,8.14 
Jannali,6184,,
Jesmond,3045,1877.7,1.3 
Jewells,2407,376,6.4 
Jordan Springs,5156,,
Kahibah,2464,1895,1.3 
Kanahooka,5575,,
Kangaroo Point,560,,
Kangaroo Valley,879,3,256 
Kangy Angy,316,,
Kanwal,3873,1937,2 
Kareela,3460 as at 2016,,
Kariong,6451,,
Katoomba,7964,,
Kearns,2745,,
Keiraville,3070,930,3.3 
Kellyville,27971,1036,27 
Kellyville Ridge,10468,,
Kemps Creek,2309,,
Kensington,15004,,
Kenthurst,4880,,
Kentlyn,740,,
Kiama,7700,554,13.9 
Kiama Downs,5004,,
Killara,10574,2171,4.87 
Killarney Heights,4469,,
Killarney Vale,6942,2239,3.1 
Killcare,473,197,2.4 
Killcare Heights,750,833,0.9 
Kincumber,7093,887,8.0 
Kincumber South,681,524,1.3 
Kings Langley,9353,,
Kings Park,3453,,
Kingsford,15482,,
Kingsgrove,12446,,
Kirkham,694,,
Kirrawee,10098,2404,4.2 
Kirribilli,3820,7640,0.5 
Kogarah,15124,5817,2.6 
Kogarah Bay,2022,,
Koolewong,871,436,2 
Koonawarra,3667,,
Kotara,3929,1637,2.4 
Kotara South,1104,1840,0.6 
Kurmond,877,,
Kurnell,2267,,
Kurraba Point,1521,5070,0.3 
Kurrajong,3123,,
Kurrajong Heights,873,,
Kurrajong Hills,639,,
Kyeemagh,919,,
Kyle Bay,1035,,
La Perouse,399,,
Lake Haven,3369,1982,1.7 
Lake Heights,3845,,
Lake Illawarra,3163,,
Lake Munmorah,4802,,
Lakelands,1424,1780,0.8 
Lakemba,17023,,
Lalor Park,7667,,
Lambton,4909,1636,3 
Lane Cove,10817,4327,2.5 
Lane Cove North,11436,,
Lane Cove West,2637,,
Lansdowne,17,,
Lansvale,2570,886,2.9 
Lapstone,961,,
Lavender Bay,941,4705,0.2 
Lawson,2614,,
Leichhardt,14625,3204,4.565 
Leonay,2518,,
Leppington,3498,,
Lethbridge Park,4655,,
Leumeah,9419,,
Leura,4644,,
Lewisham,3164,4944,0.64 
Liberty Grove,2254,9800,0.23 
Lidcombe,19627,2886,6.8 
Lilyfield,7616,3462,2.2 
Linden,501,,
Lindfield,9791,1894,5.17 
Linley Point,346,,
Lisarow,5136,421,12.2 
Little Bay,2937,,
Liverpool,27084,4299,6.3 
