Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2221,Blakehurst,South-west,16.1,-33.98796999999996,151.11149000000015,6219,,,203,1900000,670 ,882500,420 ,1910000,1700000,12.35,882500,850000,3.82,0,0,1,0,1,1,1,0
2774,Blaxland,West,56.9,-33.744389999999946,150.60805000000005,7451,,,480,760500,480 ,no data,390 ,760000,749000,1.47,550000,630000,-12.7,0,0,4,0,0,0,3,1
2756,Bligh Park,North-west,45.9,-33.63750999999996,150.7941800000001,6366,,,286,670000,430 ,no data,no data,670000,670000,0.0,530000,522000,1.53,0,0,1,0,0,0,1,0
2261,Blue Bay,North-east,62.9,-33.35507999999993,151.49846000000005,1025,1708.0,0.6 ,101,no data,460 ,545000,350 ,1337500,1014000,31.9,572750,610000,-6.11,0,0,3,0,1,0,2,0
2262,Blue Haven,North,78.1,-33.20908999999995,151.5123100000001,6378,2551.0,2.5 ,365,502250,420 ,no data,365 ,500000,515000,-2.91,0,0,0.0,0,0,0,0,0,0,1,1
2283,Bolton Point,North,103.3,-32.99889999999993,151.61053000000004,2298,1352.0,1.7 ,164,600000,408 ,no data,no data,595000,497500,19.6,0,0,0.0,0,0,0,0,1,0,0,0
2026,Bondi,East,5.9,-33.89379999999994,151.26300000000003,10045,11546.0,0.87 ,639,2300000,"1,200 ",1125000,700 ,2550000,2520000,1.19,1135000,1110000,2.25,0,0,15,0,3,0,4,0
2026,Bondi Beach,East,6.8,-33.88865999999996,151.27786000000003,11656,9554.0,1.22 ,1687,2625000,"1,298 ",1170000,750 ,2625000,2503000,4.87,1159000,1272500,-8.92,0,0,26,5,5,0,5,2
1355,Bondi Junction,South-east,4.7,-33.892409999999984,151.24732000000006,9445,11806.0,0.8 ,2642,2100000,"1,000 ",1035000,700 ,2057500,2180000,-5.62,1227500,1065000,15.26,1,0,32,3,4,0,12,1
2264,Bonnells Bay,North,90.0,-33.11019999999996,151.52214000000004,3578,1626.0,2.2 ,196,572750,420 ,no data,no data,530000,545000,-2.75,0,0,0.0,0,0,0,0,0,0,1,0
2226,Bonnet Bay,South-west,21.2,-34.01120999999995,151.0552100000001,2133,,,14,1102500,850 ,no data,no data,1132500,1130000,0.22,0,0,0.0,0,0,1,0,1,0,0,0
2177,Bonnyrigg,West,29.7,-33.896669999999965,150.88381000000004,8670,2890.0,3 ,534,700000,440 ,no data,420 ,715000,780000,-8.33,550000,525000,4.76,0,0,0,0,0,0,2,0
2177,Bonnyrigg Heights,West,31.4,-33.88924999999995,150.8691100000001,7303,,,212,730000,450 ,no data,400 ,756500,860000,-12.03,0,645000,-100.0,0,0,1,1,1,0,1,0
2257,Booker Bay,North,41.6,-33.511079999999936,151.34445000000005,1404,2808.0,0.5 ,64,705000,425 ,552500,355 ,792500,730000,8.56,550000,668000,-17.66,0,0,2,0,1,0,1,1
2176,Bossley Park,West,29.9,-33.85967999999997,150.88273000000004,14585,3241.0,4.5 ,475,810000,480 ,no data,395 ,810000,842000,-3.8,450000,670000,-32.84,0,0,0,0,0,0,2,0
1455,Botany,South,8.7,-33.94516999999996,151.19676000000004,10817,1066.6,7 ,406,1517500,850 ,832500,600 ,1492500,1465000,1.88,835000,859500,-2.85,0,0,8,1,2,0,3,1
2576,Bowral,South-west,99.5,-34.478249999999946,150.41800000000012,12949,,,704,982500,550 ,745000,388 ,1000000,928000,7.76,745000,695000,7.19,1,0,14,2,1,0,6,0
2560,Bradbury,South-west,43.7,-34.084169999999965,150.8124700000001,8800,,,623,570000,400 ,464000,325 ,576750,610000,-5.45,448000,433500,3.34,0,0,1,1,0,0,2,0
2292,Broadmeadow,North-east,116.0,-32.922079999999944,151.73190000000008,1592,796.0,2 ,1213,605000,398 ,no data,380 ,612500,650000,-5.77,585000,497500,17.59,1,0,2,0,1,0,0,1
2024,Bronte,South-east,6.5,-33.90286999999995,151.2600100000001,6733,5062.0,1.33 ,255,3275000,"1,525 ",1007500,700 ,3325000,3655000,-9.03,1015000,1360000,-25.37,0,0,7,0,0,0,0,0
