Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
North Richmond,0,0,6,1,1,0,2,0
North Ryde,0,0,5,0,1,0,5,0
North St Marys,1,0,3,0,2,0,1,0
North Strathfield,1,0,12,2,2,0,3,0
North Sydney,0,0,42,5,6,0,1,0
North Turramurra,0,0,3,0,0,0,2,0
North Wahroonga,0,0,0,0,0,0,1,0
North Willoughby,0,0,18,2,0,0,7,1
North Wollongong,0,0,1,1,0,0,1,2
Northbridge,0,0,1,0,4,0,1,0
Northmead,0,0,10,0,0,0,5,0
Northwood,0,0,0,0,3,0,0,1
Oakdale,0,0,0,0,1,0,0,0
Oakhurst,0,0,5,0,0,0,5,0
Oatlands,0,0,1,0,1,0,1,1
Oatley,0,0,3,0,1,0,1,0
Old Guildford,0,0,1,0,1,0,1,0
Old Toongabbie,0,0,0,0,1,0,1,1
Otford,0,0,1,0,3,0,0,1
Ourimbah,0,0,0,1,1,0,2,0
Oxford Falls,0,0,2,0,3,0,0,0
Oxley Park,0,0,0,0,0,0,1,0
Oyster Bay,0,0,1,0,1,0,1,0
Paddington,1,0,12,6,1,0,4,1
Padstow,1,0,2,0,0,0,1,1
Padstow Heights,1,0,3,0,2,0,1,2
Pagewood,0,0,1,0,1,1,1,0
Palm Beach,0,0,2,0,4,1,0,0
Panania,0,0,10,1,0,0,1,1
Parklea,1,0,0,0,1,0,0,0
Parramatta,0,0,20,3,1,0,0,1
Patonga,0,0,1,1,2,0,0,0
Peakhurst,0,0,1,0,3,0,0,0
Peakhurst Heights,1,0,0,0,2,0,0,0
Pearl Beach,0,0,2,0,1,0,0,1
Pemulwuy,0,0,3,0,0,0,2,0
Pendle Hill,0,0,2,0,2,0,1,0
Pennant Hills,0,0,14,2,2,0,4,2
Penrith,1,0,29,3,0,0,7,0
Penshurst,0,0,2,0,0,0,1,1
Petersham,0,0,16,5,4,0,7,1
Phegans Bay,0,0,0,0,1,0,0,1
Phillip Bay,0,0,0,0,2,0,1,0
Picnic Point,0,0,2,0,1,0,1,0
